NAME                       READY   STATUS    RESTARTS   AGE     IP            NODE                       NOMINATED NODE   READINESS GATES
backend-8dcccc454-pjg7j    1/1     Running   0          2m44s   10.244.0.50   civicpulse-control-plane   <none>           <none>
backend-8dcccc454-rgqvn    1/1     Running   0          2m38s   10.244.0.51   civicpulse-control-plane   <none>           <none>
cache-68bcf6cffd-frkl4     1/1     Running   0          16m     10.244.0.14   civicpulse-control-plane   <none>           <none>
database-0                 1/1     Running   0          16m     10.244.0.15   civicpulse-control-plane   <none>           <none>
frontend-b985b4cd6-rm5qm   1/1     Running   0          14m     10.244.0.18   civicpulse-control-plane   <none>           <none>
frontend-b985b4cd6-s5jzd   1/1     Running   0          14m     10.244.0.17   civicpulse-control-plane   <none>           <none>
load-adjusted50            1/1     Running   0          3m59s   10.244.0.49   civicpulse-control-plane   <none>           <none>
load-baseline              1/1     Running   0          11m     10.244.0.30   civicpulse-control-plane   <none>           <none>
load-baseline50            1/1     Running   0          9m      10.244.0.42   civicpulse-control-plane   <none>           <none>
