NAME                       READY   STATUS    RESTARTS   AGE     IP            NODE                       NOMINATED NODE   READINESS GATES
backend-7dfb6c866c-99szh   1/1     Running   0          2m43s   10.244.0.44   civicpulse-control-plane   <none>           <none>
backend-7dfb6c866c-9pvds   1/1     Running   0          2m37s   10.244.0.45   civicpulse-control-plane   <none>           <none>
backend-7dfb6c866c-d8rfg   1/1     Running   0          2m30s   10.244.0.46   civicpulse-control-plane   <none>           <none>
cache-68bcf6cffd-frkl4     1/1     Running   0          11m     10.244.0.14   civicpulse-control-plane   <none>           <none>
database-0                 1/1     Running   0          11m     10.244.0.15   civicpulse-control-plane   <none>           <none>
frontend-b985b4cd6-rm5qm   1/1     Running   0          9m5s    10.244.0.18   civicpulse-control-plane   <none>           <none>
frontend-b985b4cd6-s5jzd   1/1     Running   0          9m8s    10.244.0.17   civicpulse-control-plane   <none>           <none>
load-baseline              1/1     Running   0          5m58s   10.244.0.30   civicpulse-control-plane   <none>           <none>
load-baseline50            1/1     Running   0          3m57s   10.244.0.42   civicpulse-control-plane   <none>           <none>
